Method,Start_size,EndSize,Iteration,LogLoss,AUROC,AUPRC,Accuracy
SU,48,48,0,0.4593144385108641,0.9579664570230608,0.9561813053308481,0.8531468531468531
DST-None,48,295,0,0.45236230366066643,0.8472746331236897,0.7768258935241179,0.8321678321678322
DST-10,48,304,0,0.48785162998250853,0.8306079664570231,0.7568203113046742,0.8111888111888111
DST-50,48,304,0,0.48357721085286515,0.8306079664570231,0.7568203113046742,0.8111888111888111
DST-100,48,304,0,0.48357721085286515,0.8306079664570231,0.7568203113046742,0.8111888111888111
DST-200,48,304,0,0.48357721085286515,0.8306079664570231,0.7568203113046742,0.8111888111888111
SU,48,48,1,0.41577934426285357,0.9611111111111112,0.9457965332433301,0.8951048951048951
DST-None,48,192,1,0.37952479841637343,0.9570230607966457,0.936388064464004,0.8671328671328671
DST-10,48,126,1,0.3874674238120574,0.9663522012578616,0.956594995769303,0.8671328671328671
DST-50,48,126,1,0.3796721741548662,0.9579664570230608,0.9375496235882177,0.8671328671328671
DST-100,48,126,1,0.3796721741548662,0.9579664570230608,0.9375496235882177,0.8671328671328671
DST-200,48,126,1,0.3796721741548662,0.9579664570230608,0.9375496235882177,0.8671328671328671
SU,48,48,2,0.43626432469904874,0.9587002096436059,0.9451263552112541,0.9020979020979021
DST-None,48,132,2,0.4517029430533082,0.958595387840671,0.9446642439961928,0.7762237762237763
DST-10,48,120,2,0.36370804684716906,0.9356394129979037,0.9124020280769329,0.9020979020979021
DST-50,48,303,2,0.33605363284955125,0.8928721174004193,0.8496524593510268,0.9020979020979021
DST-100,48,303,2,0.33605363284955125,0.8928721174004193,0.8496524593510268,0.9020979020979021
DST-200,48,303,2,0.33605363284955125,0.8928721174004193,0.8496524593510268,0.9020979020979021
SU,48,48,3,0.4481331054410698,0.9641509433962264,0.9617779568104367,0.8601398601398601
DST-None,48,216,3,0.4081486030619905,0.8667714884696017,0.8223632041423952,0.8601398601398601
DST-10,48,90,3,0.4495383367999143,0.8334381551362684,0.7705167170115121,0.8391608391608392
DST-50,48,304,3,0.4418625566542788,0.8334381551362684,0.7705167170115121,0.8391608391608392
DST-100,48,304,3,0.4481331054410698,0.9641509433962264,0.9617779568104367,0.8601398601398601
DST-200,48,304,3,0.4481331054410698,0.9641509433962264,0.9617779568104367,0.8601398601398601
SU,48,48,4,0.46380874961882546,0.9718029350104822,0.9721243503175656,0.8461538461538461
DST-None,48,236,4,0.28620964511011016,0.9778825995807128,0.9641594640297557,0.9230769230769231
DST-10,48,126,4,0.36665366440890396,0.9585953878406709,0.9355222521293838,0.8951048951048951
DST-50,48,180,4,0.36141569586457367,0.9738993710691823,0.960816985855641,0.8881118881118881
DST-100,48,180,4,0.36141569586457367,0.9738993710691823,0.960816985855641,0.8881118881118881
DST-200,48,180,4,0.36141569586457367,0.9738993710691823,0.960816985855641,0.8881118881118881
SU,48,48,5,0.4224183489866232,0.9762054507337528,0.9616620107366838,0.9020979020979021
DST-None,48,304,5,0.3574804799918691,0.8955974842767296,0.8394661188170198,0.8881118881118881
DST-10,48,254,5,0.3312437393506559,0.9529350104821803,0.9160538576135376,0.9020979020979021
DST-50,48,304,5,0.30992520290202663,0.9178197064989517,0.8737099388862628,0.916083916083916
DST-100,48,304,5,0.30992520290202663,0.9178197064989517,0.8737099388862628,0.916083916083916
DST-200,48,304,5,0.30992520290202663,0.9178197064989517,0.8737099388862628,0.916083916083916
SU,48,48,6,0.41276260833351297,0.9669811320754718,0.9628653080680922,0.8951048951048951
DST-None,48,304,6,0.34415684625604187,0.8740041928721176,0.8378162893330809,0.8951048951048951
DST-10,48,301,6,0.34348209990845296,0.880293501048218,0.8451267161467424,0.8951048951048951
DST-50,48,298,6,0.3447001829207345,0.880293501048218,0.8453444069300962,0.8951048951048951
DST-100,48,298,6,0.3447001829207345,0.880293501048218,0.8453444069300962,0.8951048951048951
DST-200,48,298,6,0.3447001829207345,0.880293501048218,0.8453444069300962,0.8951048951048951
SU,48,48,7,0.4557842836180332,0.9569182389937108,0.9310700486868602,0.8461538461538461
DST-None,48,304,7,0.4294104748048333,0.8622641509433963,0.7939442273773596,0.8461538461538461
DST-10,48,96,7,0.4213589007410429,0.9511530398322852,0.9199129656266904,0.8461538461538461
DST-50,48,304,7,0.44974174234333286,0.8567085953878406,0.7869290965950233,0.8391608391608392
DST-100,48,304,7,0.44974174234333286,0.8567085953878406,0.7869290965950233,0.8391608391608392
DST-200,48,304,7,0.44974174234333286,0.8567085953878406,0.7869290965950233,0.8391608391608392
SU,48,48,8,0.4766192195544709,0.9539832285115304,0.9546361025747456,0.8811188811188811
DST-None,48,174,8,0.3744994383669606,0.9563941299790357,0.9476271444833115,0.8531468531468531
DST-10,48,90,8,0.41146440456716266,0.9632075471698114,0.9606388761279232,0.8531468531468531
