Method,Start_size,EndSize,Iteration,LogLoss,AUROC,AUPRC,Accuracy
DST-50,48,162,8,0.34218371941382825,0.969287211740042,0.9621270922214349,0.8881118881118881
DST-100,48,162,8,0.34218371941382825,0.969287211740042,0.9621270922214349,0.8881118881118881
DST-200,48,162,8,0.34218371941382825,0.969287211740042,0.9621270922214349,0.8881118881118881
SU,48,48,9,0.47246039859473576,0.9795597484276729,0.9780310663668998,0.9020979020979021
DST-None,48,132,9,0.36191539717546095,0.9610062893081761,0.9318431314520785,0.9020979020979021
DST-10,48,150,9,0.353005150697147,0.9144654088050315,0.860938919570995,0.9020979020979021
DST-50,48,184,9,0.34423283796586923,0.9554507337526206,0.9224589431088249,0.9020979020979021
DST-100,48,184,9,0.34423283796586923,0.9554507337526206,0.9224589431088249,0.9020979020979021
DST-200,48,184,9,0.34423283796586923,0.9554507337526206,0.9224589431088249,0.9020979020979021
SU,48,48,10,0.4303697999199906,0.9505241090146751,0.929634734557758,0.8881118881118881
DST-None,48,304,10,0.3989119208465674,0.9510482180293502,0.9231098506542319,0.8811188811188811
DST-10,48,300,10,0.40939928900571637,0.9735849056603774,0.9648659721411528,0.8811188811188811
DST-50,48,304,10,0.3891626012489172,0.899475890985325,0.8420437489659187,0.8881118881118881
DST-100,48,304,10,0.3891626012489172,0.899475890985325,0.8420437489659187,0.8881118881118881
DST-200,48,304,10,0.3891626012489172,0.899475890985325,0.8420437489659187,0.8881118881118881
SU,48,48,11,0.45837356609289154,0.9527253668763103,0.9519117935990724,0.8391608391608392
DST-None,48,214,11,0.34397873150279973,0.9199161425576521,0.8973628183205461,0.8881118881118881
DST-10,48,132,11,0.37176282784901443,0.9576519916142558,0.9560652919872612,0.8391608391608392
DST-50,48,144,11,0.3757551148308818,0.9464360587002096,0.9416449206494129,0.8531468531468531
DST-100,48,144,11,0.3757551148308818,0.9464360587002096,0.9416449206494129,0.8531468531468531
DST-200,48,144,11,0.3757551148308818,0.9464360587002096,0.9416449206494129,0.8531468531468531
SU,48,48,12,0.45462826497693093,0.9653039832285115,0.9628135827384702,0.8461538461538461
DST-None,48,84,12,0.42295832838037634,0.9644654088050315,0.9502777955297601,0.8461538461538461
DST-10,48,108,12,0.42200556863329824,0.9642557651991615,0.9499260038149433,0.8741258741258742
DST-50,48,84,12,0.4235800879100093,0.9642557651991615,0.9499260038149433,0.8461538461538461
DST-100,48,84,12,0.4235800879100093,0.9642557651991615,0.9499260038149433,0.8461538461538461
DST-200,48,84,12,0.4235800879100093,0.9642557651991615,0.9499260038149433,0.8461538461538461
SU,48,48,13,0.4814000606840075,0.9293501048218029,0.9225914473882353,0.7832167832167832
DST-None,48,96,13,0.44781998672836437,0.9126834381551363,0.89499769738419,0.7832167832167832
DST-10,48,120,13,0.3896243243412805,0.9364779874213838,0.9161911065772524,0.8601398601398601
DST-50,48,96,13,0.3997273503837151,0.939832285115304,0.9177812837254293,0.8601398601398601
DST-100,48,96,13,0.3997273503837151,0.939832285115304,0.9177812837254293,0.8601398601398601
DST-200,48,96,13,0.3997273503837151,0.939832285115304,0.9177812837254293,0.8601398601398601
SU,48,48,14,0.4320863028664252,0.975104821802935,0.9732067681124402,0.8601398601398601
DST-None,48,304,14,0.40354225646064906,0.8733752620545072,0.8084346122081971,0.8601398601398601
DST-10,48,304,14,0.4035722963152821,0.8733752620545072,0.8084346122081971,0.8601398601398601
DST-50,48,261,14,0.28967234070261677,0.9606918238993711,0.9357472698056706,0.9230769230769231
DST-100,48,261,14,0.28967234070261677,0.9606918238993711,0.9357472698056706,0.9230769230769231
DST-200,48,261,14,0.28967234070261677,0.9606918238993711,0.9357472698056706,0.9230769230769231
SU,48,48,15,0.442756096593827,0.9950733752620545,0.9937795995912233,0.8811188811188811
DST-None,48,264,15,0.3932824648800965,0.8246331236897275,0.7987172122730226,0.8671328671328671
DST-10,48,126,15,0.3788004111578487,0.9848008385744235,0.9809393251819922,0.8601398601398601
DST-50,48,146,15,0.3525354819900556,0.9761006289308176,0.9703051664372024,0.8741258741258742
DST-100,48,163,15,0.33924626584889045,0.9667714884696017,0.9592232882726621,0.8741258741258742
DST-200,48,163,15,0.33924626584889045,0.9667714884696017,0.9592232882726621,0.8741258741258742
SU,48,48,16,0.45219945407249956,0.9729559748427674,0.967029706253177,0.8671328671328671
DST-None,48,84,16,0.4236541781733371,0.9686582809224319,0.9568079983496224,0.8671328671328671
DST-10,48,138,16,0.42604938831018585,0.9479035639412998,0.9156183747710758,0.8391608391608392
DST-50,48,84,16,0.44318604251333893,0.9656184486373165,0.9534514546840815,0.8671328671328671
DST-100,48,84,16,0.44318604251333893,0.9656184486373165,0.9534514546840815,0.8671328671328671
DST-200,48,84,16,0.44318604251333893,0.9656184486373165,0.9534514546840815,0.8671328671328671
SU,48,48,17,0.43308457709351755,0.9460167714884697,0.9346469033294902,0.8951048951048951
DST-None,48,90,17,0.4249437176952164,0.9022012578616352,0.860512322315603,0.8601398601398601
DST-10,48,90,17,0.40672812424383503,0.9211740041928721,0.8915970505939173,0.8601398601398601
DST-50,48,84,17,0.404166623151103,0.9095387840670859,0.8746206056869861,0.8811188811188811
DST-100,48,84,17,0.404166623151103,0.9095387840670859,0.8746206056869861,0.8811188811188811
DST-200,48,84,17,0.404166623151103,0.9095387840670859,0.8746206056869861,0.8811188811188811
SU,48,48,18,0.41835638382706386,0.9736897274633124,0.9694317850605474,0.916083916083916
DST-None,48,304,18,0.27476962898784857,0.9422431865828094,0.9047943805676593,0.9370629370629371
DST-10,48,204,18,0.30289184393800134,0.9532494758909854,0.928368859406281,0.916083916083916
DST-50,48,108,18,0.3377951386447409,0.9530398322851154,0.9285880398617117,0.916083916083916
DST-100,48,108,18,0.3377951386447409,0.9530398322851154,0.9285880398617117,0.916083916083916
DST-200,48,108,18,0.3377951386447409,0.9530398322851154,0.9285880398617117,0.916083916083916
SU,48,48,19,0.43771658620915693,0.9625786163522012,0.9602295442440292,0.8741258741258742
DST-None,48,304,19,0.3684423626886664,0.8861635220125786,0.8289336260466063,0.8811188811188811
DST-10,48,300,19,0.37662540476843903,0.8929769392033544,0.8407828840108302,0.8741258741258742
DST-50,48,304,19,0.4264286759134841,0.8806079664570231,0.8209562242452859,0.8741258741258742
DST-100,48,304,19,0.4264286759134841,0.8806079664570231,0.8209562242452859,0.8741258741258742
DST-200,48,304,19,0.4264286759134841,0.8806079664570231,0.8209562242452859,0.8741258741258742
SU,48,48,20,0.4569448439346655,0.9814465408805031,0.9811663577551817,0.8461538461538461
DST-None,48,126,20,0.37163253230600274,0.9808176100628931,0.9790652225141475,0.8951048951048951
DST-10,48,144,20,0.48025017160577377,0.9622641509433962,0.947810309184976,0.7902097902097902
DST-50,48,163,20,0.3563437681153754,0.9768343815513627,0.9672386496600299,0.8951048951048951
DST-100,48,163,20,0.3563437681153754,0.9768343815513627,0.9672386496600299,0.8951048951048951
DST-200,48,163,20,0.3563437681153754,0.9768343815513627,0.9672386496600299,0.8951048951048951
SU,48,48,21,0.4563726999016353,0.9743186582809225,0.9696350046606489,0.8461538461538461
DST-None,48,84,21,0.4563726999016353,0.9743186582809225,0.9696350046606489,0.8461538461538461
DST-10,48,84,21,0.4563726999016353,0.9743186582809225,0.9696350046606489,0.8461538461538461
DST-50,48,138,21,0.4563726999016353,0.9743186582809225,0.9696350046606489,0.8461538461538461
DST-100,48,304,21,0.4563726999016353,0.9743186582809225,0.9696350046606489,0.8461538461538461
DST-200,48,304,21,0.4563726999016353,0.9743186582809225,0.9696350046606489,0.8461538461538461
SU,48,48,22,0.452496360638635,0.9474842767295597,0.9328373704811319,0.8811188811188811
DST-None,48,150,22,0.3952372642400495,0.9472746331236898,0.9330005423691226,0.7972027972027972
DST-10,48,156,22,0.405980331878467,0.9428721174004193,0.9273024819398376,0.7972027972027972
DST-50,48,96,22,0.39821098042355213,0.9356394129979035,0.9050081195674967,0.8531468531468531
DST-100,48,96,22,0.39821098042355213,0.9356394129979035,0.9050081195674967,0.8531468531468531
DST-200,48,96,22,0.39821098042355213,0.9356394129979035,0.9050081195674967,0.8531468531468531
SU,48,48,23,0.41632067653928456,0.9829140461215933,0.9828478359831638,0.9020979020979021
DST-None,48,84,23,0.37409329973646127,0.9776729559748427,0.965969360762988,0.9090909090909091
DST-10,48,90,23,0.3865543886393473,0.9850104821802934,0.9836568888962997,0.8881118881118881
DST-50,48,96,23,0.3818327375414211,0.9744234800838575,0.9663084147145995,0.8741258741258742
DST-100,48,96,23,0.3818327375414211,0.9744234800838575,0.9663084147145995,0.8741258741258742
DST-200,48,96,23,0.3818327375414211,0.9744234800838575,0.9663084147145995,0.8741258741258742
SU,48,48,24,0.4553018613541066,0.9850104821802934,0.9849185336681596,0.958041958041958
DST-None,48,150,24,0.3026410991143934,0.970335429769392,0.9551116886349298,0.9370629370629371
DST-10,48,102,24,0.39400972043723437,0.9794549266247379,0.9781698665360328,0.9370629370629371
DST-50,48,138,24,0.32819105019668127,0.9725366876310273,0.9723432942448271,0.9370629370629371
DST-100,48,138,24,0.32819105019668127,0.9725366876310273,0.9723432942448271,0.9370629370629371
DST-200,48,138,24,0.32819105019668127,0.9725366876310273,0.9723432942448271,0.9370629370629371
SU,48,48,25,0.44445668038733327,0.9758909853249476,0.9709074714754076,0.8741258741258742
DST-None,48,180,25,0.3805313988043032,0.9208595387840671,0.8826329029311332,0.8531468531468531
DST-10,48,192,25,0.32324853319760094,0.9261006289308176,0.8883151006295378,0.9230769230769231
DST-50,48,180,25,0.37483367747032037,0.9234800838574424,0.8849504907163246,0.8601398601398601
DST-100,48,180,25,0.37483367747032037,0.9234800838574424,0.8849504907163246,0.8601398601398601
DST-200,48,180,25,0.37483367747032037,0.9234800838574424,0.8849504907163246,0.8601398601398601
SU,48,48,26,0.4460918777538915,0.969601677148847,0.969174683011601,0.8741258741258742
DST-None,48,96,26,0.38264518148175314,0.9753668763102725,0.9726993243543609,0.8741258741258742
DST-10,48,96,26,0.3889682266164838,0.9655136268343816,0.9555973595557885,0.8741258741258742
DST-50,48,169,26,0.3522158054285231,0.9439203354297694,0.9155659574910653,0.8881118881118881
DST-100,48,169,26,0.3522158054285231,0.9439203354297694,0.9155659574910653,0.8881118881118881
DST-200,48,169,26,0.3522158054285231,0.9439203354297694,0.9155659574910653,0.8881118881118881
SU,48,48,27,0.4807314075343238,0.9578616352201258,0.9524259903455575,0.8321678321678322
DST-None,48,120,27,0.40309764650641966,0.949685534591195,0.9306055668079942,0.8601398601398601
DST-10,48,162,27,0.4677082337131941,0.9472746331236899,0.9288577242367353,0.7692307692307693
DST-50,48,126,27,0.42005111346884755,0.9513626834381552,0.9320684209911895,0.8181818181818182
DST-100,48,126,27,0.42005111346884755,0.9513626834381552,0.9320684209911895,0.8181818181818182
DST-200,48,126,27,0.42005111346884755,0.9513626834381552,0.9320684209911895,0.8181818181818182
SU,48,48,28,0.4449444930657743,0.8943396226415095,0.8761513673153011,0.8881118881118881
DST-None,48,275,28,0.3458887458350557,0.8701257861635221,0.8376152673322484,0.8951048951048951
DST-10,48,120,28,0.3735083479830971,0.8977987421383649,0.8681677070841405,0.8881118881118881
DST-50,48,126,28,0.37130703386605013,0.8929769392033544,0.8685597473955169,0.8881118881118881
DST-100,48,126,28,0.37130703386605013,0.8929769392033544,0.8685597473955169,0.8881118881118881
DST-200,48,126,28,0.37130703386605013,0.8929769392033544,0.8685597473955169,0.8881118881118881
SU,48,48,29,0.46344236426552365,0.9754716981132076,0.9761587656359075,0.8321678321678322
DST-None,48,304,29,0.3579430364006556,0.8955974842767296,0.8394661188170198,0.8881118881118881
DST-10,48,261,29,0.3614317933834082,0.8926624737945493,0.8362517027818326,0.8881118881118881
DST-50,48,304,29,0.37251030922626416,0.8955974842767296,0.8394661188170198,0.8881118881118881
DST-100,48,304,29,0.37251030922626416,0.8955974842767296,0.8394661188170198,0.8881118881118881
DST-200,48,304,29,0.37251030922626416,0.8955974842767296,0.8394661188170198,0.8881118881118881
